incorrect,correct,error_type
Do you have some cities?,Do you have any cities?,Determiner: some vs any
I enjoy to read books.,I enjoy reading books.,Misc: infinitive vs gerund
I like very much chocolate.,I like chocolate very much.,Misc: word order
I did it by me.,I did it by myself.,Pronoun: reflexive
We saw the beautiful teacher.,We saw a beautiful teacher.,Article: wrong article
I go student.,I go through student.,Preposition: missing preposition
Me and John went to the store.,John and I went to the store.,Pronoun: subject vs object
There is few water left.,There is little water left.,Determiner: few vs little
I like very much chocolate.,I like chocolate very much.,Misc: word order
I don't have many information.,I don't have much information.,Determiner: much vs many
It entered into the room.,It entered the room.,Preposition: extra preposition
"If I was you, I would go.","If I were you, I would go.",Misc: conditional
We wants the information.,We wants information.,Article: extra article
There is much books here.,There are many books here.,Determiner: much vs many
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
I walked often.,I have walked often.,Tense: Present Perfect to Simple Past
This is more better.,This is better.,Misc: comparative/superlative
"If I was you, I would go.","If I were you, I would go.",Misc: conditional
They go for question.,They go into question.,Preposition: wrong preposition
It don't have some cities.,It don't have any cities.,Determiner: some vs any
We bought an European.,We bought a European.,Article: a vs an
These school is expensive.,This student is expensive.,Determiner: this vs these
I did it by me.,I did it by myself.,Pronoun: reflexive
There is few water left.,There is little water left.,Determiner: few vs little
Me and John went to the store.,John and I went to the store.,Pronoun: subject vs object
She was dog.,She was a dog.,Article: missing article
This houses are expensive.,These schools are expensive.,Determiner: this vs these
I run last week.,I wrote last week.,Tense: Past to Present
I watch now.,I will watch now.,Tense: Future to Present
They is old dog.,They is a old dog.,Article: missing article
Me and John went to the store.,John and I went to the store.,Pronoun: subject vs object
Me and John went to the store.,John and I went to the store.,Pronoun: subject vs object
Do you have some cars?,Do you have any cars?,Determiner: some vs any
I like very much chocolate.,I like chocolate very much.,Misc: word order
They wants movie.,They wants a movie.,Article: missing article
It watchs next month.,It is watching next month.,Tense: Present Continuous to Simple
Do you have some schools?,Do you have any schools?,Determiner: some vs any
She is the most smartest.,She is the smartest.,Misc: comparative/superlative
They go sometimes.,They are going sometimes.,Tense: Present Continuous to Simple
I like very much chocolate.,I like chocolate very much.,Misc: word order
They was beautiful movie.,They was a beautiful movie.,Article: missing article
We watched always.,We have watched always.,Tense: Present Perfect to Simple Past
We was a old umbrella.,We was an old umbrella.,Article: a vs an
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
This books are expensive.,These students are expensive.,Determiner: this vs these
I have little houses.,I have few houses.,Determiner: few vs little
We look student.,We look into student.,Preposition: missing preposition
"If I was you, I would go.","If I were you, I would go.",Misc: conditional
Somebody have their books.,Somebody has his or her book.,Pronoun: agreement
She talks solution.,She talks about solution.,Preposition: missing preposition
I like very much chocolate.,I like chocolate very much.,Misc: word order
She is the most smartest.,She is the smartest.,Misc: comparative/superlative
She don't have some cats.,She don't have any cats.,Determiner: some vs any
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
I don't have nothing.,I don't have anything.,Misc: double negative
It saw the old movie.,It saw a old movie.,Article: wrong article
She wants the big school.,She wants a big school.,Article: wrong article
These movie is expensive.,This movie is expensive.,Determiner: this vs these
He bought the advice.,He bought advice.,Article: extra article
Its a beautiful day.,It's a beautiful day.,Pronoun: possessive
I study sometimes.,I ran sometimes.,Tense: Past to Present
Everyone have their books.,Everyone has his or her book.,Pronoun: agreement
These mistake is expensive.,This movie is expensive.,Determiner: this vs these
There is much books here.,There are many books here.,Determiner: much vs many
I did it by me.,I did it by myself.,Pronoun: reflexive
I like very much chocolate.,I like chocolate very much.,Misc: word order
She was solution.,She was a solution.,Article: missing article
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
I don't have some cats.,I don't have any cats.,Determiner: some vs any
Nobody are here.,Nobody is here.,Pronoun: agreement
She is the most smartest.,She is the smartest.,Misc: comparative/superlative
Everyone are here.,Everyone is here.,Pronoun: agreement
They go in question.,They go into question.,Preposition: wrong preposition
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
I did it by me.,I did it by myself.,Pronoun: reflexive
She wrote always.,She has wrote always.,Tense: Present Perfect to Simple Past
There is few patience left.,There is little patience left.,Determiner: few vs little
She saw the answer.,She saw a answer.,Article: wrong article
He needs an big book.,He needs a big book.,Article: a vs an
You write now.,You played now.,Tense: Past to Present
She is the most smartest.,She is the smartest.,Misc: comparative/superlative
It interesteds student.,It interesteds in student.,Preposition: missing preposition
We interested friend.,We interested in friend.,Preposition: missing preposition
They go in answer.,They go into answer.,Preposition: wrong preposition
Everyone are here.,Everyone is here.,Pronoun: agreement
We depend among teacher.,We depend on teacher.,Preposition: wrong preposition
He plays sometimes.,He is playing sometimes.,Tense: Present Continuous to Simple
They has difficult city.,They has a difficult city.,Article: missing article
You is interested about idea.,You is interested in idea.,Preposition: wrong preposition
She listens book.,She listens to book.,Preposition: missing preposition
They entered into the room.,They entered the room.,Preposition: extra preposition
We listen teacher.,We listen to teacher.,Preposition: missing preposition
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
She works last week.,She will work last week.,Tense: Future to Present
I played next month.,I have played next month.,Tense: Present Perfect to Simple Past
He plays every day.,He is playing every day.,Tense: Present Continuous to Simple
They wants the money.,They wants money.,Article: extra article
That book is your's.,That book is yours.,Pronoun: possessive
Nobody have their books.,Nobody has his or her book.,Pronoun: agreement
"If I was you, I would go.","If I were you, I would go.",Misc: conditional
I like very much chocolate.,I like chocolate very much.,Misc: word order
He bought school.,He bought a school.,Article: missing article
He needs the information.,He needs information.,Article: extra article
We was beautiful student.,We was a beautiful student.,Article: missing article
We interested job.,We interested in job.,Preposition: missing preposition
Its a beautiful day.,It's a beautiful day.,Pronoun: possessive
We needs job.,We needs a job.,Article: missing article
There is few patience left.,There is little patience left.,Determiner: few vs little
I is an book.,I is a book.,Article: a vs an
We don't have some schools.,We don't have any schools.,Determiner: some vs any
Somebody are here.,Somebody is here.,Pronoun: agreement
You don't have some friends.,You don't have any friends.,Determiner: some vs any
They worked often.,They walk often.,Tense: Present to Past
There is few milk left.,There is little milk left.,Determiner: few vs little
They wants the money.,They wants money.,Article: extra article
He is question.,He is a question.,Article: missing article
He waits movie.,He waits for movie.,Preposition: missing preposition
We walk tomorrow.,We are walking tomorrow.,Tense: Present Continuous to Simple
Everyone have their books.,Everyone has his or her book.,Pronoun: agreement
You go now.,You are going now.,Tense: Present Continuous to Simple
She has the beautiful student.,She has a beautiful student.,Article: wrong article
There is much books here.,There are many books here.,Determiner: much vs many
She gos next month.,She is going next month.,Tense: Present Continuous to Simple
He bought an car.,He bought a car.,Article: a vs an
You wait of teacher.,You wait for teacher.,Preposition: wrong preposition
He has the money.,He has money.,Article: extra article
I enjoy to read books.,I enjoy reading books.,Misc: infinitive vs gerund
There is few water left.,There is little water left.,Determiner: few vs little
There is much houses here.,There are many houses here.,Determiner: much vs many
I did it by me.,I did it by myself.,Pronoun: reflexive
He talks at solution.,He talks about solution.,Preposition: wrong preposition
That book is your's.,That book is yours.,Pronoun: possessive
She has the answer.,She has a answer.,Article: wrong article
There is much schools here.,There are many schools here.,Determiner: much vs many
She walks next month.,She will walk next month.,Tense: Future to Present
They entered into the room.,They entered the room.,Preposition: extra preposition
We good question.,We good at question.,Preposition: missing preposition
It needs the homework.,It needs homework.,Article: extra article
We was an new European.,We was a new European.,Article: a vs an
I go last week.,I will go last week.,Tense: Future to Present
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
These problem is expensive.,This teacher is expensive.,Determiner: this vs these
He is interested for problem.,He is interested in problem.,Preposition: wrong preposition
She wants going home.,She wants to go home.,Misc: infinitive vs gerund
It needs the water.,It needs water.,Article: extra article
They go in idea.,They go to idea.,Preposition: wrong preposition
We saw a beautiful umbrella.,We saw an beautiful umbrella.,Article: a vs an
She talks student.,She talks to student.,Preposition: missing preposition
I don't have nothing.,I don't have anything.,Misc: double negative
I have little dogs.,I have few dogs.,Determiner: few vs little
This students are expensive.,These dogs are expensive.,Determiner: this vs these
That book is your's.,That book is yours.,Pronoun: possessive
He has a beautiful hour.,He has an beautiful hour.,Article: a vs an
That book is your's.,That book is yours.,Pronoun: possessive
I wants a hour.,I wants an hour.,Article: a vs an
Its a beautiful day.,It's a beautiful day.,Pronoun: possessive
She saw a new MBA.,She saw an new MBA.,Article: a vs an
We eat yesterday.,We are eating yesterday.,Tense: Present Continuous to Simple
These question is expensive.,This problem is expensive.,Determiner: this vs these
You wants the water.,You wants water.,Article: extra article
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
He gos into mistake.,He gos through mistake.,Preposition: wrong preposition
They depend book.,They depend on book.,Preposition: missing preposition
You talk solution.,You talk about solution.,Preposition: missing preposition
He entered into the room.,He entered the room.,Preposition: extra preposition
You watch last week.,You went last week.,Tense: Past to Present
It read sometimes.,It talks sometimes.,Tense: Present to Past
I don't have many water.,I don't have much water.,Determiner: much vs many
She waits with problem.,She waits for problem.,Preposition: wrong preposition
She wants a old MBA.,She wants an old MBA.,Article: a vs an
They read tomorrow.,They ran tomorrow.,Tense: Past to Present
They wants an book.,They wants a book.,Article: a vs an
You entered into the room.,You entered the room.,Preposition: extra preposition
I is the dog.,I is a dog.,Article: wrong article
This is more better.,This is better.,Misc: comparative/superlative
You needs the homework.,You needs homework.,Article: extra article
It entered into the room.,It entered the room.,Preposition: extra preposition
They has interesting dog.,They has a interesting dog.,Article: missing article
We entered into the room.,We entered the room.,Preposition: extra preposition
I have little dogs.,I have few dogs.,Determiner: few vs little
They is the information.,They is information.,Article: extra article
She wants new cat.,She wants a new cat.,Article: missing article
They listen cat.,They listen to cat.,Preposition: missing preposition
He gos sometimes.,He worked sometimes.,Tense: Past to Present
I like very much chocolate.,I like chocolate very much.,Misc: word order
Its a beautiful day.,It's a beautiful day.,Pronoun: possessive
It plays every day.,It ran every day.,Tense: Past to Present
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
I did it by me.,I did it by myself.,Pronoun: reflexive
I was the city.,I was a city.,Article: wrong article
You talk problem.,You talk about problem.,Preposition: missing preposition
Me and John went to the store.,John and I went to the store.,Pronoun: subject vs object
They go in movie.,They go through movie.,Preposition: wrong preposition
I entered into the room.,I entered the room.,Preposition: extra preposition
We wants the advice.,We wants advice.,Article: extra article
He waits into car.,He waits for car.,Preposition: wrong preposition
It waits house.,It waits for house.,Preposition: missing preposition
You entered into the room.,You entered the room.,Preposition: extra preposition
You study next month.,You will study next month.,Tense: Future to Present
It entered into the room.,It entered the room.,Preposition: extra preposition
I enjoy to read books.,I enjoy reading books.,Misc: infinitive vs gerund
There is few time left.,There is little time left.,Determiner: few vs little
I play often.,I read often.,Tense: Past to Present
They talk upon school.,They talk with school.,Preposition: wrong preposition
I did it by me.,I did it by myself.,Pronoun: reflexive
She wants going home.,She wants to go home.,Misc: infinitive vs gerund
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
I don't have nothing.,I don't have anything.,Misc: double negative
She wants going home.,She wants to go home.,Misc: infinitive vs gerund
You was an one.,You was a one.,Article: a vs an
She entered into the room.,She entered the room.,Preposition: extra preposition
We run sometimes.,We will run sometimes.,Tense: Future to Present
You depend for school.,You depend on school.,Preposition: wrong preposition
I don't have many money.,I don't have much money.,Determiner: much vs many
They talk always.,They will talk always.,Tense: Future to Present
Me and John went to the store.,John and I went to the store.,Pronoun: subject vs object
You was the mistake.,You was a mistake.,Article: wrong article
It is an expensive university.,It is a expensive university.,Article: a vs an
"If I was you, I would go.","If I were you, I would go.",Misc: conditional
They wants the advice.,They wants advice.,Article: extra article
You don't have some books.,You don't have any books.,Determiner: some vs any
I don't have many time.,I don't have much time.,Determiner: much vs many
Its a beautiful day.,It's a beautiful day.,Pronoun: possessive
You read always.,You have read always.,Tense: Present Perfect to Simple Past
These problem is expensive.,This mistake is expensive.,Determiner: this vs these
She is the most smartest.,She is the smartest.,Misc: comparative/superlative
I is interested among car.,I is interested in car.,Preposition: wrong preposition
It plays always.,It will play always.,Tense: Future to Present
We studied always.,We have studied always.,Tense: Present Perfect to Simple Past
They play often.,They will play often.,Tense: Future to Present
I went tomorrow.,I sleep tomorrow.,Tense: Present to Past
We go tomorrow.,We will go tomorrow.,Tense: Future to Present
This is more better.,This is better.,Misc: comparative/superlative
She is the most smartest.,She is the smartest.,Misc: comparative/superlative
That book is your's.,That book is yours.,Pronoun: possessive
I have little books.,I have few books.,Determiner: few vs little
She is new student.,She is a new student.,Article: missing article
He talks onto idea.,He talks with idea.,Preposition: wrong preposition
I did it by me.,I did it by myself.,Pronoun: reflexive
He bought an European.,He bought a European.,Article: a vs an
You needs the information.,You needs information.,Article: extra article
That book is your's.,That book is yours.,Pronoun: possessive
You wants an car.,You wants a car.,Article: a vs an
You entered into the room.,You entered the room.,Preposition: extra preposition
Its a beautiful day.,It's a beautiful day.,Pronoun: possessive
You walked next month.,You write next month.,Tense: Present to Past
It saw beautiful house.,It saw a beautiful house.,Article: missing article
You talk student.,You talk with student.,Preposition: missing preposition
"If I was you, I would go.","If I were you, I would go.",Misc: conditional
Me and John went to the store.,John and I went to the store.,Pronoun: subject vs object
You wrote now.,You have wrote now.,Tense: Present Perfect to Simple Past
It talks last week.,It will talk last week.,Tense: Future to Present
We wants house.,We wants a house.,Article: missing article
This is more better.,This is better.,Misc: comparative/superlative
Me and John went to the store.,John and I went to the store.,Pronoun: subject vs object
These car is expensive.,This house is expensive.,Determiner: this vs these
I enjoy to read books.,I enjoy reading books.,Misc: infinitive vs gerund
I like very much chocolate.,I like chocolate very much.,Misc: word order
We entered into the room.,We entered the room.,Preposition: extra preposition
He was the money.,He was money.,Article: extra article
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
You write often.,You watched often.,Tense: Past to Present
She studys yesterday.,She will study yesterday.,Tense: Future to Present
I did it by me.,I did it by myself.,Pronoun: reflexive
It don't have some cities.,It don't have any cities.,Determiner: some vs any
You wrote last week.,You sleep last week.,Tense: Present to Past
We ate yesterday.,We write yesterday.,Tense: Present to Past
She entered into the room.,She entered the room.,Preposition: extra preposition
They was a interesting idea.,They was an interesting idea.,Article: a vs an
Everyone have their books.,Everyone has his or her book.,Pronoun: agreement
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
I entered into the room.,I entered the room.,Preposition: extra preposition
We watch every day.,We are watching every day.,Tense: Present Continuous to Simple
He studys yesterday.,He is studying yesterday.,Tense: Present Continuous to Simple
I did it by me.,I did it by myself.,Pronoun: reflexive
I don't have nothing.,I don't have anything.,Misc: double negative
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
She writes tomorrow.,She is writeing tomorrow.,Tense: Present Continuous to Simple
It don't have some books.,It don't have any books.,Determiner: some vs any
Its a beautiful day.,It's a beautiful day.,Pronoun: possessive
You is big school.,You is a big school.,Article: missing article
You saw the beautiful solution.,You saw a beautiful solution.,Article: wrong article
She is the most smartest.,She is the smartest.,Misc: comparative/superlative
I did it by me.,I did it by myself.,Pronoun: reflexive
You study every day.,You will study every day.,Tense: Future to Present
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
He ate tomorrow.,He has ate tomorrow.,Tense: Present Perfect to Simple Past
I has important city.,I has a important city.,Article: missing article
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
These mistake is expensive.,This idea is expensive.,Determiner: this vs these
I look dog.,I look for dog.,Preposition: missing preposition
We has a expensive umbrella.,We has an expensive umbrella.,Article: a vs an
We talk about movie.,We talk to movie.,Preposition: wrong preposition
They has old question.,They has a old question.,Article: missing article
They go onto school.,They go into school.,Preposition: wrong preposition
I is interested among school.,I is interested in school.,Preposition: wrong preposition
We talk job.,We talk to job.,Preposition: missing preposition
We wants the old car.,We wants a old car.,Article: wrong article
We don't have some houses.,We don't have any houses.,Determiner: some vs any
You ate last week.,You study last week.,Tense: Present to Past
He has the advice.,He has advice.,Article: extra article
I did it by me.,I did it by myself.,Pronoun: reflexive
Each student have their books.,Each student has his or her book.,Pronoun: agreement
These city is expensive.,This cat is expensive.,Determiner: this vs these
We run yesterday.,We are runing yesterday.,Tense: Present Continuous to Simple
I don't have some cities.,I don't have any cities.,Determiner: some vs any
She wants going home.,She wants to go home.,Misc: infinitive vs gerund
We talk now.,We are talking now.,Tense: Present Continuous to Simple
You wait cat.,You wait for cat.,Preposition: missing preposition
I wants the water.,I wants water.,Article: extra article
Everyone have their books.,Everyone has his or her book.,Pronoun: agreement
Somebody have their books.,Somebody has his or her book.,Pronoun: agreement
There is much cars here.,There are many cars here.,Determiner: much vs many
This cities are expensive.,These cars are expensive.,Determiner: this vs these
They wants a idea.,They wants an idea.,Article: a vs an
She was the money.,She was money.,Article: extra article
I enjoy to read books.,I enjoy reading books.,Misc: infinitive vs gerund
There is much dogs here.,There are many dogs here.,Determiner: much vs many
Nobody are here.,Nobody is here.,Pronoun: agreement
Me and John went to the store.,John and I went to the store.,Pronoun: subject vs object
She watched yesterday.,She has watched yesterday.,Tense: Present Perfect to Simple Past
Do you have some books?,Do you have any books?,Determiner: some vs any
There is few time left.,There is little time left.,Determiner: few vs little
I enjoy to read books.,I enjoy reading books.,Misc: infinitive vs gerund
They played tomorrow.,They run tomorrow.,Tense: Present to Past
It is expensive solution.,It is a expensive solution.,Article: missing article
He is the beautiful question.,He is a beautiful question.,Article: wrong article
He bought small idea.,He bought a small idea.,Article: missing article
I read sometimes.,I am reading sometimes.,Tense: Present Continuous to Simple
You saw school.,You saw a school.,Article: missing article
They entered into the room.,They entered the room.,Preposition: extra preposition
Its a beautiful day.,It's a beautiful day.,Pronoun: possessive
This friends are expensive.,These cars are expensive.,Determiner: this vs these
I did it by me.,I did it by myself.,Pronoun: reflexive
He talks into school.,He talks with school.,Preposition: wrong preposition
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
I have little books.,I have few books.,Determiner: few vs little
This is more better.,This is better.,Misc: comparative/superlative
You saw teacher.,You saw a teacher.,Article: missing article
I don't have nothing.,I don't have anything.,Misc: double negative
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
This dogs are expensive.,These dogs are expensive.,Determiner: this vs these
She works next month.,She wrote next month.,Tense: Past to Present
I have little books.,I have few books.,Determiner: few vs little
She wants going home.,She wants to go home.,Misc: infinitive vs gerund
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
I did it by me.,I did it by myself.,Pronoun: reflexive
It bought the advice.,It bought advice.,Article: extra article
He entered into the room.,He entered the room.,Preposition: extra preposition
These book is expensive.,This friend is expensive.,Determiner: this vs these
They listen for idea.,They listen to idea.,Preposition: wrong preposition
You interested job.,You interested in job.,Preposition: missing preposition
I watch now.,I slept now.,Tense: Past to Present
That book is your's.,That book is yours.,Pronoun: possessive
I don't have many time.,I don't have much time.,Determiner: much vs many
Each student have their books.,Each student has his or her book.,Pronoun: agreement
I did it by me.,I did it by myself.,Pronoun: reflexive
Its a beautiful day.,It's a beautiful day.,Pronoun: possessive
We entered into the room.,We entered the room.,Preposition: extra preposition
I don't have some houses.,I don't have any houses.,Determiner: some vs any
I enjoy to read books.,I enjoy reading books.,Misc: infinitive vs gerund
It saw the money.,It saw money.,Article: extra article
I don't have nothing.,I don't have anything.,Misc: double negative
I don't have nothing.,I don't have anything.,Misc: double negative
He wants question.,He wants a question.,Article: missing article
You talked tomorrow.,You write tomorrow.,Tense: Present to Past
She entered into the room.,She entered the room.,Preposition: extra preposition
It bought a MBA.,It bought an MBA.,Article: a vs an
He bought an easy book.,He bought a easy book.,Article: a vs an
Its a beautiful day.,It's a beautiful day.,Pronoun: possessive
Everyone are here.,Everyone is here.,Pronoun: agreement
I don't have many time.,I don't have much time.,Determiner: much vs many
We saw the information.,We saw information.,Article: extra article
This cats are expensive.,These dogs are expensive.,Determiner: this vs these
It works often.,It will work often.,Tense: Future to Present
I walked often.,I have walked often.,Tense: Present Perfect to Simple Past
You bought the problem.,You bought a problem.,Article: wrong article
I did it by me.,I did it by myself.,Pronoun: reflexive
This is more better.,This is better.,Misc: comparative/superlative
We entered into the room.,We entered the room.,Preposition: extra preposition
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
I don't have nothing.,I don't have anything.,Misc: double negative
It looks on idea.,It looks into idea.,Preposition: wrong preposition
There is few milk left.,There is little milk left.,Determiner: few vs little
We don't have some friends.,We don't have any friends.,Determiner: some vs any
I go last week.,I am going last week.,Tense: Present Continuous to Simple
I did it by me.,I did it by myself.,Pronoun: reflexive
You saw the old job.,You saw a old job.,Article: wrong article
I don't have nothing.,I don't have anything.,Misc: double negative
These cat is expensive.,This answer is expensive.,Determiner: this vs these
You is the expensive movie.,You is a expensive movie.,Article: wrong article
We was the money.,We was money.,Article: extra article
It bought an important one.,It bought a important one.,Article: a vs an
It walks yesterday.,It will walk yesterday.,Tense: Future to Present
You listen teacher.,You listen to teacher.,Preposition: missing preposition
She sleeps every day.,She ran every day.,Tense: Past to Present
These friend is expensive.,This house is expensive.,Determiner: this vs these
I interested friend.,I interested in friend.,Preposition: missing preposition
This is more better.,This is better.,Misc: comparative/superlative
It is the answer.,It is a answer.,Article: wrong article
I did it by me.,I did it by myself.,Pronoun: reflexive
She was the idea.,She was a idea.,Article: wrong article
"If I was you, I would go.","If I were you, I would go.",Misc: conditional
I did it by me.,I did it by myself.,Pronoun: reflexive
You study sometimes.,You will study sometimes.,Tense: Future to Present
He entered into the room.,He entered the room.,Preposition: extra preposition
Somebody have their books.,Somebody has his or her book.,Pronoun: agreement
This cars are expensive.,These friends are expensive.,Determiner: this vs these
I don't have nothing.,I don't have anything.,Misc: double negative
She studied tomorrow.,She gos tomorrow.,Tense: Present to Past
You has a old hour.,You has an old hour.,Article: a vs an
I don't have nothing.,I don't have anything.,Misc: double negative
It was the money.,It was money.,Article: extra article
We bought an one.,We bought a one.,Article: a vs an
I wants the information.,I wants information.,Article: extra article
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
I don't have nothing.,I don't have anything.,Misc: double negative
We go now.,We are going now.,Tense: Present Continuous to Simple
I went every day.,I have went every day.,Tense: Present Perfect to Simple Past
He is good among city.,He is good for city.,Preposition: wrong preposition
There is few patience left.,There is little patience left.,Determiner: few vs little
These cat is expensive.,This solution is expensive.,Determiner: this vs these
You wrote last week.,You read last week.,Tense: Present to Past
"If I was you, I would go.","If I were you, I would go.",Misc: conditional
I have little teachers.,I have few teachers.,Determiner: few vs little
They play always.,They read always.,Tense: Past to Present
She works next month.,She will work next month.,Tense: Future to Present
He writes next month.,He will write next month.,Tense: Future to Present
She worked now.,She talks now.,Tense: Present to Past
I is an uniform.,I is a uniform.,Article: a vs an
I write every day.,I went every day.,Tense: Past to Present
Do you have some cats?,Do you have any cats?,Determiner: some vs any
These school is expensive.,This mistake is expensive.,Determiner: this vs these
She has the new friend.,She has a new friend.,Article: wrong article
I did it by me.,I did it by myself.,Pronoun: reflexive
It saw the beautiful problem.,It saw a beautiful problem.,Article: wrong article
It don't have some students.,It don't have any students.,Determiner: some vs any
You is movie.,You is a movie.,Article: missing article
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
I don't have many water.,I don't have much water.,Determiner: much vs many
She entered into the room.,She entered the room.,Preposition: extra preposition
They is interested from idea.,They is interested in idea.,Preposition: wrong preposition
She wants going home.,She wants to go home.,Misc: infinitive vs gerund
He worked yesterday.,He watchs yesterday.,Tense: Present to Past
He saw idea.,He saw a idea.,Article: missing article
It wants an important book.,It wants a important book.,Article: a vs an
I have little cats.,I have few cats.,Determiner: few vs little
Somebody are here.,Somebody is here.,Pronoun: agreement
I saw teacher.,I saw a teacher.,Article: missing article
You was the advice.,You was advice.,Article: extra article
It entered into the room.,It entered the room.,Preposition: extra preposition
We is good for teacher.,We is good at teacher.,Preposition: wrong preposition
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
You saw an interesting one.,You saw a interesting one.,Article: a vs an
I don't have nothing.,I don't have anything.,Misc: double negative
I don't have many money.,I don't have much money.,Determiner: much vs many
Its a beautiful day.,It's a beautiful day.,Pronoun: possessive
She played always.,She watchs always.,Tense: Present to Past
They look with cat.,They look for cat.,Preposition: wrong preposition
We go last week.,We talked last week.,Tense: Past to Present
We bought the advice.,We bought advice.,Article: extra article
I have little cities.,I have few cities.,Determiner: few vs little
I have little friends.,I have few friends.,Determiner: few vs little
Each student have their books.,Each student has his or her book.,Pronoun: agreement
I did it by me.,I did it by myself.,Pronoun: reflexive
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
There is few patience left.,There is little patience left.,Determiner: few vs little
I slept now.,I work now.,Tense: Present to Past
I have little cars.,I have few cars.,Determiner: few vs little
We wants the money.,We wants money.,Article: extra article
I don't have nothing.,I don't have anything.,Misc: double negative
Me and John went to the store.,John and I went to the store.,Pronoun: subject vs object
I did it by me.,I did it by myself.,Pronoun: reflexive
We watch last week.,We will watch last week.,Tense: Future to Present
I don't have nothing.,I don't have anything.,Misc: double negative
She wants going home.,She wants to go home.,Misc: infinitive vs gerund
He runs often.,He is runing often.,Tense: Present Continuous to Simple
"If I was you, I would go.","If I were you, I would go.",Misc: conditional
They needs the advice.,They needs advice.,Article: extra article
This cities are expensive.,These friends are expensive.,Determiner: this vs these
